city,timestamp,temperature,season
New York,2010-01-01,6.784460722362685,winter
New York,2010-01-02,-2.135651040541291,winter
New York,2010-01-03,7.284094938328844,winter
New York,2010-01-04,-1.1085772896338968,winter
New York,2010-01-05,-1.8812137518823664,winter
New York,2010-01-06,1.9802302378521235,winter
New York,2010-01-07,2.8634571184286846,winter
New York,2010-01-08,-2.974039235301821,winter
New York,2010-01-09,2.8380644174219487,winter
New York,2010-01-10,0.2825098873200086,winter
New York,2010-01-11,-4.889471066245419,winter
New York,2010-01-12,0.9225810088555125,winter
New York,2010-01-13,-1.1862972609054268,winter
New York,2010-01-14,1.8210927269437582,winter
New York,2010-01-15,2.752238276473416,winter
New York,2010-01-16,5.415903849701099,winter
New York,2010-01-17,-0.9196147035519299,winter
New York,2010-01-18,-7.992355484064148,winter
New York,2010-01-19,-3.192762206666454,winter
New York,2010-01-20,-2.578627048324338,winter
New York,2010-01-21,-0.4817099363962888,winter
New York,2010-01-22,6.341749889479427,winter
New York,2010-01-23,-2.5477621088929885,winter
New York,2010-01-24,3.638565978009183,winter
New York,2010-01-25,5.371065360136045,winter
New York,2010-01-26,-1.932776759094548,winter
New York,2010-01-27,3.391816719076704,winter
New York,2010-01-28,3.7450631795273837,winter
New York,2010-01-29,-2.6296723719106883,winter
New York,2010-01-30,9.795441793327324,winter
New York,2010-01-31,-13.099721099970203,winter
New York,2010-02-01,-1.926578396678849,winter
New York,2010-02-02,-5.7711886702391055,winter
New York,2010-02-03,7.2122178418785765,winter
New York,2010-02-04,-0.07902493292082319,winter
New York,2010-02-05,2.1467629808706885,winter
New York,2010-02-06,-4.00546315936994,winter
New York,2010-02-07,-0.7284573903576569,winter
New York,2010-02-08,-1.0031652413818466,winter
New York,2010-02-09,-2.310834600707896,winter
New York,2010-02-10,-1.461425408101421,winter
New York,2010-02-11,-8.562502709278482,winter
New York,2010-02-12,3.1945727649724946,winter
New York,2010-02-13,2.194283490240106,winter
New York,2010-02-14,0.9080886221097588,winter
New York,2010-02-15,4.905348768483287,winter
New York,2010-02-16,-1.7324065012602599,winter
New York,2010-02-17,9.622158671263028,winter
New York,2010-02-18,-3.663453615874615,winter
New York,2010-02-19,-4.823875185705139,winter
New York,2010-02-20,4.889994057271199,winter
New York,2010-02-21,-2.6964072682678775,winter
New York,2010-02-22,-1.6235884759287333,winter
New York,2010-02-23,-0.8540396466767528,winter
New York,2010-02-24,-4.297376292111397,winter
New York,2010-02-25,-3.8255252405004647,winter
New York,2010-02-26,3.7591247806411827,winter
New York,2010-02-27,1.1406454600464662,winter
New York,2010-02-28,3.310847818484477,winter
New York,2010-03-01,7.59247030604329,spring
New York,2010-03-02,9.243868875243868,spring
New York,2010-03-03,9.902644165114864,spring
New York,2010-03-04,18.311491997571437,spring
New York,2010-03-05,18.234701716476774,spring
New York,2010-03-06,20.3218694240488,spring
New York,2010-03-07,6.279112437480982,spring
New York,2010-03-08,11.246803934325062,spring
